OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים
36678396,0180,שלמה זלמן בהר''ן,6, , ,4,6,15,2200,0000, ,,739.3212432861328,216.09694305576807
36678397,0180,שלמה זלמן בהר''ן,1, , ,3,2,4,2200,0000, ,,454.6816101074219,113.89332710882812
36678398,0180,שלמה זלמן בהר''ן,7, , ,3,4,14,2200,0000, ,,434.5480194091797,130.13518396520857
36678399,0349,ישעיהו,24, , ,4,1,1,2200,0000, ,,190.4031982421875,67.20145638928562
36678400,0349,ישעיהו,22, , ,2,1,0,2200,0000, ,,221.1372528076172,71.6432143751544
36678401,0350,נתן שטראוס,25, , ,2,1,2,2200,0000, ,,277.1767883300781,82.30922159966723
36678402,0349,ישעיהו,20, , ,3,1,8,2200,0000, ,,254.68846130371094,87.38368713999509
36678403,0350,נתן שטראוס,23, , ,5,1,8,2200,0000, ,,181.7400360107422,68.1185330317373
36678404,0350,נתן שטראוס,21, , ,4,1,5,2200,0000, ,,256.8634796142578,70.25563021056423
36678405,0359,ישעיהו פרס,7, , ,3,1,6,2200,0000, ,,254.32550048828125,73.04328378469457
36678406,0359,ישעיהו פרס,9, , ,2,1,4,2200,0351,סימה בליליוס,,174.73387145996094,53.75832043376899
36678407,0359,ישעיהו פרס,4, , ,4,1,0,2200,0000, ,,303.770263671875,73.57949643984952
36678408,0351,סימה בליליוס,3, , ,2,1,0,2200,0359,ישעיהו פרס,,273.0556182861328,88.00139319027795
36678409,0351,סימה בליליוס,6, , ,5,3,1,2200,0000, ,,436.5720520019531,132.90487988978884
36678410,0351,סימה בליליוס,12, , ,1,1,1,2200,0000, ,,124.66911315917969,55.17138194071007
